7/25/2022,ACAP Early Education Services,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Page 1 of 1,Unnamed: 24,Unnamed: 25
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1804's Family,,1804,1,4,4,3,3,2,3,4,3,4,3,3,4,3,3,,4,3,3,3,,2,61
,,,2,5,5,3,4,3,4,4,3,4,4,4,4,3,3,,4,4,4,3,,2,70
,,,+/-,"?
1","?
1",-,"?
1","?
1","?
1",-,-,-,"?
1","?
1",-,-,-,,-,"?
1","?
1",-,,-,"?
9"
Classroom Average - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,6,1,3.5,3.8,3.2,3.2,3.2,3,3.5,2.8,3.5,3.7,3.3,3.7,3.5,3.5,,3.8,3.2,3.5,3.2,,2.7,63.7
,,6,2,4,4.3,3,4,3.7,3.5,4.2,3,4.2,4.3,4.3,4.3,3.7,3.7,,4.2,3.8,3.8,3.2,,2.7,71.8
,,6,+/-,"?
0.5","?
0.5","?
0.2","?
0.8","?
0.5","?
0.5","?
0.7","?
0.2","?
0.7","?
0.7","?
1","?
0.7","?
0.2","?
0.2",,"?
0.3","?
0.7","?
0.3",-,,-,"?
8.2"
ACAP Early Education Services - Caribou Early Education Services - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
1869's Family,,1869,1,3,4,3,4,3,4,5,3,4,3,3,3,3,5,,4,3,3,2,,4,66
,,,2,3,4,3,4,3,4,5,3,4,3,3,3,3,5,,4,3,3,2,,4,66
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
2243's Family,,2243,1,5,4,3,4,4,4,4,4,4,4,4,4,4,3,,4,3,4,3,,2,71
,,,2,5,4,4,4,4,4,4,4,4,4,3,4,3,3,,3,4,4,3,,2,70
,,,+/-,-,-,"?
1",-,-,-,-,-,-,-,"?
1",-,"?
1",-,,"?
1","?
1",-,-,,-,"?
1"
1877's Family,,1877,1,4,5,3,5,4,4,5,4,4,5,3,4,3,4,,4,4,4,3,,3,75
,,,2,4,5,3,5,4,4,5,4,4,5,4,4,3,4,,4,4,4,3,,3,76
,,,+/-,-,-,-,-,-,-,-,-,-,-,"?
1",-,-,-,,-,-,-,-,,-,"?
1"
2163's Family,,2163,1,3,4,3,4,3,3,4,3,3,3,3,3,2,3,,3,2,3,2,,2,56
,,,2,4,3,3,3,3,3,4,3,3,4,3,3,3,2,,3,3,4,2,,2,58
,,,+/-,"?
1","?
1",-,"?
1",-,-,-,-,-,"?
1",-,-,"?
1","?
1",,-,"?
1","?
1",-,,-,"?
2"
1014's Family,,1014,1,5,5,5,5,4,4,4,4,4,3,5,3,5,3,,3,3,4,3,,3,75
,,,2,5,5,5,5,4,4,4,4,4,3,5,3,5,3,,3,3,4,3,,3,75
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
Classroom Average - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,5,1,4,4.4,3.4,4.4,3.6,3.8,4.4,3.6,3.8,3.6,3.6,3.4,3.4,3.6,,3.6,3,3.6,2.6,,2.8,68.6
,,5,2,4.2,4.2,3.6,4.2,3.6,3.8,4.4,3.6,3.8,3.8,3.6,3.4,3.4,3.4,,3.4,3.4,3.8,2.6,,2.8,69
,,5,+/-,"?
0.2","?
0.2","?
0.2","?
0.2",-,-,-,-,-,"?
0.2",-,-,-,"?
0.2",,"?
0.2","?
0.4","?
0.2",-,,-,"?
0.4"
Site Average - Caribou Early Education Services,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,11,1,3.7,4.1,3.3,3.7,3.4,3.4,3.9,3.2,3.6,3.6,3.5,3.5,3.5,3.5,,3.7,3.1,3.5,2.9,,2.7,65.9
,,11,2,4.1,4.3,3.3,4.1,3.6,3.6,4.3,3.3,4,4.1,4,3.9,3.5,3.5,,3.8,3.6,3.8,2.9,,2.7,70.5
,,11,+/-,"?
0.4","?
0.2",-,"?
0.4","?
0.3","?
0.3","?
0.4","?
0.1","?
0.4","?
0.5","?
0.5","?
0.4","?
0.1",-,,"?
0.1","?
0.5","?
0.3",-,,-,"?
4.6"
ACAP Early Education Services - Early Head Start Home Base - Central HB,,,,,,,,,,,,,,,,,,,,,,,,,
2141's Family,,2141,1,4,3,3,3,3,3,4,3,4,4,3,3,3,3,,4,3,4,3,,2,62
,,,2,4,4,4,4,4,3,4,3,4,4,3,4,3,3,,4,3,4,3,,2,67
,,,+/-,-,"?
1","?
1","?
1","?
1",-,-,-,-,-,-,"?
1",-,-,,-,-,-,-,,-,"?
5"
1829's Family,,1829,1,4,4,4,4,4,4,4,4,4,4,3,4,3,4,,4,4,4,3,,3,72
,,,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,,4,4,4,3,,3,72
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
2244's Family,,2244,1,4,4,3,4,2,3,5,3,4,4,4,4,2,4,,4,3,4,3,,3,67
,,,2,4,4,4,4,4,3,5,4,4,4,4,4,3,4,,4,4,4,4,,3,74
,,,+/-,-,-,"?
1",-,"?
2",-,-,"?
1",-,-,-,-,"?
1",-,,-,"?
1",-,"?
1",,-,"?
7"
1070's Family,,1070,1,3,4,3,1,1,2,3,3,3,4,3,3,3,5,,4,4,4,3,,2,58
,,,2,4,4,3,1,2,3,4,3,3,3,3,4,3,4,,3,4,4,4,,3,62
,,,+/-,"?
1",-,-,-,"?
1","?
1","?
1",-,-,"?
1",-,"?
1",-,"?
1",,"?
1",-,-,"?
1",,"?
1","?
4"
2142's Family,,2142,1,4,4,3,4,4,3,4,3,4,4,5,4,4,3,,4,4,4,4,,3,72
,,,2,4,4,3,4,4,3,4,3,4,4,5,4,4,3,,4,4,4,4,,3,72
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
2141's Family,,2141,1,4,3,3,3,3,3,4,3,4,4,3,3,3,3,,4,3,4,3,,2,62
,,,2,4,4,4,4,4,3,4,3,4,4,3,4,3,3,,4,3,4,3,,2,67
,,,+/-,-,"?
1","?
1","?
1","?
1",-,-,-,-,-,-,"?
1",-,-,,-,-,-,-,,-,"?
5"
1528's Family,,1528,1,3,3,3,3,3,3,3,2,2,3,3,3,2,3,,3,3,3,3,,1,52
,,,2,3,2,3,3,2,3,3,3,2,3,3,3,2,3,,3,3,2,3,,1,50
,,,+/-,-,"?
1",-,-,"?
1",-,-,"?
1",-,-,-,-,-,-,,-,-,"?
1",-,,-,"?
2"
1938's Family,,1938,1,4,4,3,3,2,3,3,3,3,3,3,3,3,4,,3,3,3,2,,2,57
,,,2,4,4,3,3,3,3,4,3,3,3,3,3,4,4,,3,3,3,3,,2,61
,,,+/-,-,-,-,-,"?
1",-,"?
1",-,-,-,-,-,"?
1",-,,-,-,-,"?
1",,-,"?
4"
2142's Family,,2142,1,4,4,3,4,4,3,4,3,4,4,5,4,4,3,,4,4,4,4,,3,72
,,,2,4,4,3,4,4,3,4,3,4,4,5,4,4,3,,4,4,4,4,,3,72
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1023's Family,,1023,1,3,4,4,3,4,3,4,3,3,4,3,4,4,4,,4,3,3,3,,3,66
,,,2,3,4,3,2,4,3,4,3,4,4,4,4,4,4,,4,3,3,3,,3,66
,,,+/-,-,-,"?
1","?
1",-,-,-,-,"?
1",-,"?
1",-,-,-,,-,-,-,-,,-,-
Classroom Average - Central HB,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,8,1,3.6,3.8,3.3,3.1,2.9,3,3.8,3,3.4,3.8,3.4,3.5,3,3.8,,3.8,3.4,3.6,3,,2.4,63.3
,,8,2,3.8,3.8,3.4,3.1,3.4,3.1,4,3.3,3.5,3.6,3.5,3.8,3.3,3.6,,3.6,3.5,3.5,3.4,,2.5,65.5
,,8,+/-,"?
0.1",-,"?
0.1",-,"?
0.5","?
0.1","?
0.3","?
0.3","?
0.1","?
0.1","?
0.1","?
0.3","?
0.3","?
0.1",,"?
0.1","?
0.1","?
0.1","?
0.4",,"?
0.1","?
2.3"
ACAP Early Education Services - Early Head Start Home Base - Northern HB,,,,,,,,,,,,,,,,,,,,,,,,,
1877's Family,,1877,1,4,5,3,5,4,4,5,4,4,5,3,4,3,4,,4,4,4,3,,3,75
,,,2,4,5,3,5,4,4,5,4,4,5,4,4,3,4,,4,4,4,3,,3,76
,,,+/-,-,-,-,-,-,-,-,-,-,-,"?
1",-,-,-,,-,-,-,-,,-,"?
1"
1126's Family,,1126,1,5,4,3,5,4,4,5,4,5,5,3,3,4,5,,4,5,5,4,,4,81
,,,2,5,4,4,5,5,4,5,5,4,5,4,5,5,5,,5,4,5,4,,4,87
,,,+/-,-,-,"?
1",-,"?
1",-,-,"?
1","?
1",-,"?
1","?
2","?
1",-,,"?
1","?
1",-,-,,-,"?
6"
2227's Family,,2227,1,4,4,5,5,4,4,5,4,5,5,4,4,4,4,,4,4,4,4,,3,80
,,,2,4,4,3,4,4,4,5,4,5,5,4,5,4,5,,4,4,4,4,,3,79
,,,+/-,-,-,"?
2","?
1",-,-,-,-,-,-,-,"?
1",-,"?
1",,-,-,-,-,,-,"?
1"
2089's Family,,2089,1,3,4,3,4,3,3,4,3,3,4,4,4,3,3,,3,3,4,3,,1,62
,,,2,2,4,3,4,3,3,4,3,4,3,3,3,3,4,,3,4,4,2,,1,60
,,,+/-,"?
1",-,-,-,-,-,-,-,"?
1","?
1","?
1","?
1",-,"?
1",,-,"?
1",-,"?
1",,-,"?
2"
2215's Family,,2215,1,3,4,3,3,3,4,4,3,4,4,4,3,3,3,,4,4,3,3,,3,65
,,,2,3,3,3,3,3,3,4,3,4,4,4,4,3,3,,4,4,4,3,,3,65
,,,+/-,-,"?
1",-,-,-,"?
1",-,-,-,-,-,"?
1",-,-,,-,-,"?
1",-,,-,-
Classroom Average - Northern HB,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,5,1,3.8,4.2,3.4,4.4,3.6,3.8,4.6,3.6,4.2,4.6,3.6,3.6,3.4,3.8,,3.8,4,4,3.4,,2.8,72.6
,,5,2,3.6,4,3.2,4.2,3.8,3.6,4.6,3.8,4.2,4.4,3.8,4.2,3.6,4.2,,4,4,4.2,3.2,,2.8,73.4
,,5,+/-,"?
0.2","?
0.2","?
0.2","?
0.2","?
0.2","?
0.2",-,"?
0.2",-,"?
0.2","?
0.2","?
0.6","?
0.2","?
0.4",,"?
0.2",-,"?
0.2","?
0.2",,-,"?
0.8"
Site Average - Early Head Start Home Base,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,13,1,3.7,3.9,3.3,3.6,3.2,3.3,4.1,3.2,3.7,4.1,3.5,3.5,3.2,3.8,,3.8,3.6,3.8,3.2,,2.5,66.8
,,13,2,3.7,3.8,3.3,3.5,3.5,3.3,4.2,3.5,3.8,3.9,3.6,3.9,3.4,3.8,,3.8,3.7,3.8,3.3,,2.6,68.5
,,13,+/-,-,"?
0.1",-,"?
0.1","?
0.4",-,"?
0.2","?
0.2","?
0.1","?
0.2","?
0.2","?
0.4","?
0.2","?
0.1",,-,"?
0.1",-,"?
0.2",,"?
0.1","?
1.7"
ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
1969's Family,,1969,1,4,3,3,4,3,3,4,3,3,3,4,3,3,3,,3,3,3,3,,3,61
,,,2,4,4,3,4,3,3,4,3,4,3,3,3,3,3,,3,3,4,3,,3,63
,,,+/-,-,"?
1",-,-,-,-,-,-,"?
1",-,"?
1",-,-,-,,-,-,"?
1",-,,-,"?
2"
2191's Family,,2191,1,4,4,4,4,2,4,4,3,4,4,4,4,4,4,,4,4,4,4,,4,73
,,,2,4,4,4,4,2,4,4,3,4,4,4,4,4,4,,4,4,4,4,,4,73
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
2045's Family,,2045,1,3,3,2,1,2,2,3,2,2,2,2,2,3,3,,2,1,2,2,,2,41
,,,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,,2,1,2,2,,2,45
,,,+/-,-,"?
1",-,"?
1",-,"?
1",-,"?
1",-,-,"?
1","?
1",-,-,,-,-,-,-,,-,"?
4"
2045's Family,,2045,1,3,3,2,1,2,2,3,2,2,2,2,2,3,3,,2,1,2,2,,2,41
,,,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,,2,1,2,2,,2,45
,,,+/-,-,"?
1",-,"?
1",-,"?
1",-,"?
1",-,-,"?
1","?
1",-,-,,-,-,-,-,,-,"?
4"
2259's Family,,2259,1,4,3,4,4,4,3,4,3,3,3,3,3,4,2,,3,4,3,3,,2,62
,,,2,4,3,4,4,4,3,4,3,3,3,3,3,4,2,,3,4,3,3,,2,62
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1990's Family,,1990,1,3,2,2,1,1,2,2,3,2,2,3,3,3,2,,2,2,2,3,,2,42
,,,2,4,3,2,1,1,2,3,3,3,2,2,3,2,2,,2,2,3,3,,2,45
,,,+/-,"?
1","?
1",-,-,-,-,"?
1",-,"?
1",-,"?
1",-,"?
1",-,,-,-,"?
1",-,,-,"?
3"
Classroom Average - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,5,1,3.6,3,3,2.8,2.4,2.8,3.4,2.8,2.8,2.8,3.2,3,3.4,2.8,,2.8,2.8,2.8,3,,2.6,55.8
,,5,2,3.8,3.2,3,3,2.4,3,3.6,3,3.2,2.8,3,3.2,3.2,2.8,,2.8,2.8,3.2,3,,2.6,57.6
,,5,+/-,"?
0.2","?
0.2",-,"?
0.2",-,"?
0.2","?
0.2","?
0.2","?
0.4",-,"?
0.2","?
0.2","?
0.2",-,,-,-,"?
0.4",-,,-,"?
1.8"
ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
1936's Family,,1936,1,4,4,3,3,3,3,3,3,3,3,2,3,2,2,,3,3,3,2,,1,53
,,,2,4,3,4,3,3,3,4,3,3,4,3,3,3,3,,3,3,3,3,,2,60
,,,+/-,-,"?
1","?
1",-,-,-,"?
1",-,-,"?
1","?
1",-,"?
1","?
1",,-,-,-,"?
1",,"?
1","?
7"
2144's Family,,2144,1,2,3,3,4,3,2,2,2,3,3,3,3,3,3,,3,4,3,3,,2,54
,,,2,3,4,3,4,2,2,4,3,3,4,4,3,2,3,,3,3,3,2,,2,57
,,,+/-,"?
1","?
1",-,-,"?
1",-,"?
2","?
1",-,"?
1","?
1",-,"?
1",-,,-,"?
1",-,"?
1",,-,"?
3"
1984's Family,,1984,1,4,4,3,4,3,3,5,3,4,4,4,4,2,2,,4,4,4,4,,3,68
,,,2,4,4,4,4,3,3,5,3,4,4,4,4,3,3,,4,4,4,4,,3,71
,,,+/-,-,-,"?
1",-,-,-,-,-,-,-,-,-,"?
1","?
1",,-,-,-,-,,-,"?
3"
1514's Family,,1514,1,4,3,4,4,2,3,3,3,3,4,3,3,3,2,,3,3,3,2,,4,59
,,,2,4,3,4,4,2,3,3,3,3,4,3,3,3,2,,3,3,3,2,,4,59
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1075's Family,,1075,1,3,3,3,1,2,3,3,3,3,3,3,3,2,2,,3,2,3,3,,2,50
,,,2,2,3,3,3,2,3,4,3,3,4,3,3,3,3,,3,3,3,2,,2,55
,,,+/-,"?
1",-,-,"?
2",-,-,"?
1",-,-,"?
1",-,-,"?
1","?
1",,-,"?
1",-,"?
1",,-,"?
5"
2259's Family,,2259,1,4,3,4,4,4,3,4,3,3,3,3,3,4,2,,3,4,3,3,,2,62
,,,2,4,3,4,4,4,3,4,3,3,3,3,3,4,2,,3,4,3,3,,2,62
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1990's Family,,1990,1,3,2,2,1,1,2,2,3,2,2,3,3,3,2,,2,2,2,3,,2,42
,,,2,4,3,2,1,1,2,3,3,3,2,2,3,2,2,,2,2,3,3,,2,45
,,,+/-,"?
1","?
1",-,-,-,-,"?
1",-,"?
1",-,"?
1",-,"?
1",-,,-,-,"?
1",-,,-,"?
3"
Classroom Average - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,7,1,3.4,3.1,3.1,3,2.6,2.7,3.1,2.9,3,3.1,3,3.1,2.7,2.1,,3,3.1,3,2.9,,2.3,55.4
,,7,2,3.6,3.3,3.4,3.3,2.4,2.7,3.9,3,3.1,3.6,3.1,3.1,2.9,2.6,,3,3.1,3.1,2.7,,2.4,58.4
,,7,+/-,"?
0.1","?
0.1","?
0.3","?
0.3","?
0.1",-,"?
0.7","?
0.1","?
0.1","?
0.4","?
0.1",-,"?
0.1","?
0.4",,-,-,"?
0.1","?
0.1",,"?
0.1","?
3"
Site Average - Gouldville Early Education Servi,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,10,1,3.5,3.2,3.1,3,2.5,2.8,3.3,2.8,3,3.1,3.1,3.1,2.9,2.5,,3,3,3,2.9,,2.5,56.3
,,10,2,3.6,3.3,3.3,3.3,2.4,2.9,3.8,3,3.2,3.4,3.2,3.2,3,2.8,,3,3,3.2,2.8,,2.6,59
,,10,+/-,"?
0.1","?
0.1","?
0.2","?
0.3","?
0.1","?
0.1","?
0.5","?
0.2","?
0.2","?
0.3","?
0.1","?
0.1","?
0.1","?
0.3",,-,-,"?
0.2","?
0.1",,"?
0.1","?
2.7"
ACAP Early Education Services - Houlton Early Education Services - EHS,,,,,,,,,,,,,,,,,,,,,,,,,
2183's Family,,2183,1,3,4,3,2,2,3,3,2,3,5,5,3,4,3,,3,3,4,4,,4,63
,,,2,3,4,3,2,2,3,3,2,3,5,5,3,4,3,,3,3,4,4,,4,63
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1538's Family,,1538,1,3,4,3,3,3,3,5,3,4,4,4,4,4,5,,4,4,3,5,,5,73
,,,2,3,4,3,4,3,5,4,3,3,4,4,4,4,4,,3,4,4,5,,5,73
,,,+/-,-,-,-,"?
1",-,"?
2","?
1",-,"?
1",-,-,-,-,"?
1",,"?
1",-,"?
1",-,,-,-
Classroom Average - EHS,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,2,1,3,4,3,2.5,2.5,3,4,2.5,3.5,4.5,4.5,3.5,4,4,,3.5,3.5,3.5,4.5,,4.5,68
,,2,2,3,4,3,3,2.5,4,3.5,2.5,3,4.5,4.5,3.5,4,3.5,,3,3.5,4,4.5,,4.5,68
,,2,+/-,-,-,-,"?
0.5",-,"?
1","?
0.5",-,"?
0.5",-,-,-,-,"?
0.5",,"?
0.5",-,"?
0.5",-,,-,-
Site Average - Houlton Early Education Services,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,2,1,3,4,3,2.5,2.5,3,4,2.5,3.5,4.5,4.5,3.5,4,4,,3.5,3.5,3.5,4.5,,4.5,68
,,2,2,3,4,3,3,2.5,4,3.5,2.5,3,4.5,4.5,3.5,4,3.5,,3,3.5,4,4.5,,4.5,68
,,2,+/-,-,-,-,"?
0.5",-,"?
1","?
0.5",-,"?
0.5",-,-,-,-,"?
0.5",,"?
0.5",-,"?
0.5",-,,-,-
Agency Average - ACAP Early Education Services,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,34,1,3.6,3.7,3.2,3.4,2.9,3.1,3.8,3,3.5,3.6,3.4,3.4,3.2,3.3,,3.5,3.3,3.5,3.1,,2.7,63.3
,,34,2,3.8,3.8,3.3,3.6,3.1,3.3,4.1,3.2,3.6,3.8,3.6,3.7,3.4,3.4,,3.5,3.5,3.6,3.1,,2.7,66.2
,,34,+/-,"?
0.1","?
0.1","?
0.1","?
0.2","?
0.2","?
0.2","?
0.3","?
0.2","?
0.1","?
0.2","?
0.2","?
0.3","?
0.1","?
0.1",,-,"?
0.2","?
0.2","?
0",,"?
0.1","?
2.9"
Report Average,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,34,1,3.6,3.7,3.2,3.4,2.9,3.1,3.8,3,3.5,3.6,3.4,3.4,3.2,3.3,,3.5,3.3,3.5,3.1,,2.7,63.3
,,34,2,3.8,3.8,3.3,3.6,3.1,3.3,4.1,3.2,3.6,3.8,3.6,3.7,3.4,3.4,,3.5,3.5,3.6,3.1,,2.7,66.2
,,34,+/-,"?
0.1","?
0.1","?
0.1","?
0.2","?
0.2","?
0.2","?
0.3","?
0.2","?
0.1","?
0.2","?
0.2","?
0.3","?
0.1","?
0.1",,-,"?
0.2","?
0.2","?
0",,"?
0.1","?
2.9"
Scoring Legend:  5.0 - Thriving  4.0 - Strength  3.0 - Making Progress  2.0 - Needs Assistance  1.0 - In-Crisis,,,,,,,,,,,,,,,,,,,,,,,,,
Gains are calculated by comparing results from the first and most recent assessments,,,,,,,,,,,,,,,,,,© ChildPlus,,,,,,,
